message,class
นี่ คือ สินค้า ที่ คุ้มค่า ราคา เหมาะสม มาก,Yes
นี่ คือ สินค้า ที่ แย่ ที่สุด ที่ ผม เคย ซื้อ,No
เป็น ประสบการณ์ ที่ ยอดเยี่ยม แนะนำ เป็น อย่างยิ่ง สำหรับ สตรี มี ครรภ์,Yes
ไม่ ต้อง ซื้อ เสีย เงิน เปล่า,No
คุณภาพ ดี เยี่ยม และ สม ราคา,Yes
เป็น ประสบการณ์ ที่ แย่ มาก ไม่ แนะนำ ให้ ใช้ ครับ,No
ผม พอใจ กับ การ ซื้อ สินค้า นี้ มาก,Yes
ผิดหวัง มาก เลย ครับ คุณภาพ แย่ ไม่ คุ้ม เลย,No
ห้า ดาว ! แนะนำ ให้ มา ซื้อ กัน ครับ,Yes
ใช้ แค่ ครั้ง เดียว แล้ว ก็ พัง เลย แย่ มาก ครับ,No
บริการ ยอดเยี่ยม และ รวดเร็ว,Yes
บริการ ลูกค้า แย่ และ ไม่ ช่วยเหลือ อะไร เลย,No
เป็น การ ตัดสินใจ ซื้อ ที่ ดี ที่สุด ที่ ผม เคย เลือก ซื้อ,Yes
ผม จะ ไม่ ซื้อ สินค้า จาก บริษัท นี้ อีก,No
คุณภาพ เยี่ยม และ จัดส่ง รวดเร็ว ไม่เกิน 3 วัน,Yes
ไม่ คุ้ม กับ เงิน ที่ จ่าย ไป เลย,No
เป็น สินค้า ที่ คุ้มค่า อยาก ให้ มา ซื้อ กัน,Yes
เป็น ประสบการณ์ ที่ แย่ ตั้งแต่ ต้น จน จบ สรุป ไม่ ต้อง ซื้อ,No
คุณภาพ ดี กว่า ที่ คาด ไว้ มาก,Yes
ผม อยาก ให้ คะแนน สินค้า ศูนย์ ดาว ถ้า เป็น ไป ได้,No
